# 
# 03/31/2025 07:23:21
# The parameters defined in the project are:
# ,P17 - length_of_rect [mm],P18 - (115-length_of_rect)*0.5 [mm],P19 - width [mm],P20 - half_of_width [mm],P34 - THICKNESS [mm],P36 - radius [mm],P40 - same_as_thickness [mm],P41 - Remote Force Z Component [N],P49 - angular_vertical_LENG [mm],P42 - Directional Deformation Maximum [mm],P43 - Directional Deformation 2 Maximum [mm],P44 - Equivalent Elastic Strain Maximum [mm mm^-1],P45 - Equivalent Stress Maximum [MPa],P46 - Maximum Shear Stress Maximum [MPa],P47 - Total Deformation Maximum [mm],P48 - Geometry Mass [kg]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P17,P18,P19,P20,P34,P36,P40,P41,P49,P42,P43,P44,P45,P46,P47,P48
DP 35,40,37.5,40,20,5,105,5,100,145,0.0010855311993509531,1.8938792943954468,0.00042715474774013273,85.430635167172667,42.764672032854996,6.9133104139306694,1.0371751047194622
DP 36,40,37.5,40,20,4,95,4,100,145,0.0012875426327809691,5.3686957359313965,0.00062634970527142286,125.26984000415752,62.712881095151552,12.822661892521488,0.88985427819736207
DP 37,40,37.5,40,20,4,90,4,100,145,0.0012247504200786352,6.4603252410888672,0.00060119991394458339,120.23944408543043,60.218701300124678,12.754309631101826,0.90378286288721943
DP 38,50,32.5,50,25,4,105,4,100,145,0.0011770768323913217,2.8686039447784424,0.00055076902208384126,110.153506127137,55.152377874691155,10.535917148666213,1.0564088566923502
DP 39,45,35,45,22.5,5,105,5,100,145,0.000988951069302857,1.6764737367630005,0.00038496228517033161,76.99210527716815,38.536636878233658,6.1204087140063681,1.141048636175207
DP 40,40,37.5,40,20,4,100,4,100,145,0.0013532225275412202,4.4420480728149414,0.00065103288701114559,130.206187104224,65.182462914858434,13.019020679208129,0.88209209112822284
DP 41,40,37.5,40,20,5,95,5,100,145,0.0010039076441898942,2.7987134456634521,0.00039537100747111253,79.0739644283293,39.656378726926434,6.6662560411758562,1.0521722308327022
DP 42,40,37.5,40,20,5,90,5,100,145,0.00095863168826326739,3.365358829498291,0.00037956619053147733,75.913006244956833,38.112376186254991,6.6335810172813163,1.0696639386096498
DP 43,50,32.5,50,25,4,90,4,100,145,0.0010165865533053875,5.1109275817871094,0.00048496264571440406,96.992180341747911,48.586900188850493,10.089895681608793,1.0886877602815517
DP 44,50,32.5,50,25,5,90,5,100,145,0.0008013924234546721,2.6665594577789307,0.00030905051556016715,61.809902730180909,31.065038854611426,5.2560815919429729,1.2855323375954444
DP 45,45,35,45,22.5,4,90,4,100,145,0.0011125911260023713,5.710604190826416,0.00053767010103911161,107.53393336700557,53.844818066486063,11.273996626200828,0.99623531158438583
DP 46,45,35,45,22.5,5,90,5,100,145,0.0008741284254938364,2.9776628017425537,0.000341253054405873,68.250372450051231,34.243854056740858,5.8694411524718895,1.1775981381025467
DP 47,40,37.5,40,20,5,100,5,100,145,0.001044156146235764,2.3180735111236572,0.0004114135226700455,82.282321547216611,41.20956648206257,6.7654931149973594,1.0424008427084455
DP 48,45,35,45,22.5,4,100,4,100,145,0.0012318547815084457,3.9276726245880123,0.00058500043087406084,116.99969051048986,58.581612787128059,11.511635604873058,0.9718334496594766
DP 49,45,35,45,22.5,5,100,5,100,145,0.00095105625223368406,2.0517194271087646,0.00037052817642688749,74.105272102027243,37.096841817721852,5.9885155969674386,1.1469274689789672
DP 50,50,32.5,50,25,4,100,4,100,145,0.0011264097411185503,3.5156764984130859,0.000528592693929871,105.71846282623034,52.9273333139236,10.303792666676447,1.0615748081907295
DP 51,50,32.5,50,25,5,100,5,100,145,0.00087265559704974294,1.8378670215606689,0.00033642577182035893,67.2848692494089,33.685538952049114,5.3643195995424389,1.2514540952494886
DP 52,45,35,45,22.5,4,95,4,100,145,0.0011704015778377652,4.7464017868041992,0.0005606256308965385,112.12470442712986,56.112564543474122,11.336322356096856,0.980565792679231
DP 53,45,35,45,22.5,5,95,5,100,145,0.00091415649512782693,2.47672963142395,0.00035582966354143409,71.165773811240854,35.630105311336436,5.8995476468173171,1.1579201368195962
DP 54,50,37.5,50,25,4,95,4,100,145,0.0011115866946056485,4.2628607749938965,0.00050801488881309831,101.60289710024769,50.8734723526221,10.152909318159871,1.0712772188527293
DP 55,50,37.5,50,25,5,95,5,100,145,0.00086289620958268642,2.2261059284210205,0.00032333098351955414,64.666048754237721,32.377664597378832,5.2873939160535253,1.2636679546473577
DP 56,40,32.5,40,25,5,105,5,100,145,0.0011125646997243166,1.9013969898223877,0.00042727086110971868,85.453914927820776,42.769245102518028,6.9138059821658873,1.0391210859513937
DP 57,40,37.5,40,20,4,110,4,100,145,0.0014671104727312922,2.877331018447876,0.00070134362128252781,140.268621819428,70.2005683415547,13.668439347410491,0.87614908695713833
DP 58,45,35,45,22.5,4,110,4,100,145,0.0013349312357604504,2.5448517799377441,0.00063105780282057822,126.2111914458438,63.168150599796761,12.089979488504111,0.96514775543959175
DP 59,45,35,45,22.5,5,110,5,100,145,0.0010233635548502207,1.3344409465789795,0.00039901855052448809,79.803370213314253,39.9374836469937,6.28446239791168,1.1384441534832792
DP 60,50,32.5,50,25,4,110,4,100,145,0.0012233572779223323,2.2783417701721191,0.000571621940859283,114.32429972524376,57.225846893693628,10.823589547794768,1.0541464239220495
DP 61,50,32.5,50,25,5,110,5,100,145,0.00093863863730803132,1.1956515312194824,0.00036294609526521526,72.58902067421532,36.332187902596232,5.6310626099872145,1.2420283911436922
DP 62,40,37.5,40,20,4,108,4,100,145,0.0014456536155194044,3.1689012050628662,0.00069231203330370283,138.462287634663,69.3178331017524,13.517369505291558,0.87665062471054889
DP 63,40,37.5,40,20,4,105,4,100,145,0.0014131374191492796,3.6236040592193604,0.00067660853528650478,135.32093722101172,67.718243342016493,13.308747248648997,0.87795917002187152
DP 64,40,37.5,40,20,5,105,5,100,145,0.0010855311993509531,1.8938792943954468,0.00042715474774013273,85.430635167172667,42.764672032854996,6.9133104139306694,1.0371751047194622
DP 65,40,37.5,40,20,4,105,4,100,155,0.0014139648992568254,4.7939577102661133,0.000675984141707886,135.1962840261267,67.674361799713381,13.712739658829076,0.88763997529163974
DP 66,40,37.5,40,20,5,110,5,100,155,0.001124071073718369,2.0564205646514893,0.00044251179206185044,88.50203297724255,44.292261191875625,7.2529726549048075,1.0439302590919386
DP 67,40,37.5,40,20,5,105,5,100,155,0.0010849260725080967,2.5008261203765869,0.00042687589011620731,85.374886330341013,42.7354361202755,7.1246725226138725,1.0493589218460357
DP 68,40,37.5,40,20,4,95,4,100,155,0.001287581748329103,6.9505910873413086,0.00062600618305926525,125.20113153017934,62.68760878347365,13.576135483721107,0.90940932349010217
DP 69,40,37.5,40,20,4,90,4,100,155,0.0012241319054737687,8.4317922592163086,0.00060064802528359,120.12949982323417,60.164180728609843,13.806146408228296,0.93498423404088815
DP 70,50,32.5,50,25,4,105,4,100,155,0.0011772561119869351,3.7937564849853516,0.00054906212608329952,109.81199760039691,54.969022613944979,10.852467548691084,1.0685098631726397
DP 71,45,35,45,22.5,5,105,5,100,155,0.00098843278829008341,2.2135162353515625,0.00038472051965072752,76.943740982654745,38.516575670075063,6.3068631931505834,1.1547554303813998
DP 72,40,37.5,40,20,4,100,4,100,155,0.0013531519798561931,5.7757067680358887,0.0006506700738100335,130.1335011923565,65.14794681025441,13.567656435848201,0.8955050580117675
DP 73,40,37.5,40,20,5,95,5,100,155,0.0010041393106803298,3.6193053722381592,0.00039479525488180417,78.9590327220913,39.632394211620564,7.0587790165469615,1.0767175585282769
DP 74,40,37.5,40,20,5,90,5,100,155,0.00095891189994290471,4.3885688781738281,0.00037974057340761647,75.94776855738867,38.126984302896695,7.1814052412253488,1.1087830495703455
DP 75,50,32.5,50,25,4,90,4,100,155,0.001016299007460475,6.6680326461791992,0.00048454019124619661,96.9075608711573,48.530248674947586,10.917967355807354,1.1276895998764265
DP 76,50,32.5,50,25,5,90,5,100,155,0.00080148433335125446,3.4762070178985596,0.00030898389013600536,61.796543421341781,31.032132836683225,5.68844590226139,1.3344313823052116
DP 77,45,35,45,22.5,4,90,4,100,155,0.0011128840269520879,7.4518051147460938,0.00053747905379471683,107.49571456819569,53.823756062484705,12.201488663646593,1.031336916958657
DP 78,45,35,45,22.5,5,90,5,100,155,0.000873966549988836,3.8823959827423096,0.00034121991484425962,68.243619246016451,34.210878496079665,6.3531728906087883,1.2216072159377795
DP 79,40,37.5,40,20,5,100,5,100,155,0.00104416417889297,3.0097870826721191,0.00041099999361904338,82.199739471337125,41.148996448035327,7.051873416923744,1.0592577963958447
DP 80,45,35,45,22.5,4,100,4,100,155,0.0012307557044550776,5.1061134338378906,0.00058386486489325762,116.77261259973631,58.45970575842604,11.995059484441487,0.98692303735061282
DP 81,45,35,45,22.5,5,100,5,100,155,0.00095109338872134686,2.663646936416626,0.00037007893261034044,74.015412580735415,37.04610613293125,6.2412374194655982,1.1658915418154798
DP 82,50,32.5,50,25,4,100,4,100,155,0.0011272229021415114,4.5697646141052246,0.0005278546110882113,105.57084690750142,52.866239397620191,10.735090409999716,1.0783410166894569
DP 83,50,32.5,50,25,5,100,5,100,155,0.000873300654347986,2.3856716156005859,0.00033594712149351833,67.189083605294456,33.62805320992522,5.5899825480328031,1.2725252872351156
DP 84,45,35,45,22.5,4,95,4,100,155,0.0011702906340360641,6.1439294815063477,0.00056113782435810811,112.22726312262496,56.203960524449286,12.000535770531004,1.0025652185849743
DP 85,45,35,45,22.5,5,95,5,100,155,0.00091428786981850863,3.2025520801544189,0.00035517981935602921,71.035947988446949,35.585309327870924,6.2461388721993707,1.1855336304180029
DP 86,50,37.5,50,25,4,95,4,100,155,0.0011117564281448722,5.51540470123291,0.00050726945482892916,101.45321342546356,50.79539577659466,10.750136882241236,1.0957210253714753
DP 87,50,37.5,50,25,5,95,5,100,155,0.00086286617442965508,2.8770987987518311,0.00032268004239692044,64.535998686761616,32.297496490396369,5.5993153425597368,1.2943496141485968
DP 88,40,32.5,40,25,5,105,5,100,155,0.0011126619065180421,2.50895357131958,0.0004270456702215597,85.408875474455527,42.754286653587165,7.1266666035155382,1.0513049030779678
DP 89,40,37.5,40,20,4,110,4,100,155,0.0014669907977804542,3.9363529682159419,0.00070117432915139943,140.23417351698544,70.189912510816029,13.964900730866942,0.88334403960926677
DP 90,45,35,45,22.5,4,110,4,100,155,0.0013348608044907451,3.480842113494873,0.00063050928292796016,126.10178589154991,63.12260092730174,12.350074175498886,0.97324207712101529
DP 91,45,35,45,22.5,5,110,5,100,155,0.001022862852551043,1.8203999996185303,0.00039893625362310561,79.786994564548792,39.93611469564101,6.42163005537596,1.1486482896019998
DP 92,50,32.5,50,25,4,110,4,100,155,0.0012235267786309123,3.1156485080718994,0.00057088165340246633,114.17582098476143,57.150076875098613,11.054819330857461,1.063140114632765
DP 93,50,32.5,50,25,5,110,5,100,155,0.00093874882441014051,1.6308073997497559,0.00036273206933401525,72.546156796451157,36.3107216873412,5.7531728081396123,1.2533663201120622
DP 94,40,37.5,40,20,4,108,4,100,155,0.0014457281213253736,4.267636775970459,0.00069160888475986815,138.32168264232692,69.234961661024428,13.853355078482821,0.88473217483356292
DP 95,40,37.5,40,20,4,105,4,100,155,0.0014139648992568254,4.7939577102661133,0.000675984141707886,135.1962840261267,67.674361799713381,13.712739658829076,0.88763997529163974
DP 96,40,37.5,40,20,5,105,5,100,155,0.0010849260725080967,2.5008261203765869,0.00042687589011620731,85.374886330341013,42.7354361202755,7.1246725226138725,1.0493589218460357
DP 97,40,37.5,40,20,4,105,3,100,150,0.0016409916570410132,4.1902594566345215,0.00067638693144544959,135.27701171958495,67.718343302401777,13.532398001450922,0.83867574013102175
DP 98,40,37.5,40,20,4,95,3,100,150,0.0015472002560272813,6.1220026016235352,0.00062564995217447483,125.1298803000024,62.642633833755411,13.202664771443063,0.85493476814120684
DP 99,40,37.5,40,20,4,90,3,100,150,0.0015002244617789984,7.3850259780883789,0.00060011974225441611,120.02383723892086,60.098927522974108,13.265222706170473,0.87370118533861774
DP 100,50,32.5,50,25,4,105,3,100,150,0.0013586048735305667,3.3166730403900146,0.00055026094196364284,110.05212331418929,55.103838119033576,10.70917045750922,1.0182473154054192
DP 101,40,37.5,40,20,4,100,3,100,150,0.0015942074824124575,5.0837178230285645,0.0006516723854777714,130.33437429474193,65.247580434935514,13.308087268977577,0.844489629701261
DP 102,50,32.5,50,25,4,90,3,100,150,0.0012335059000179172,5.8408937454223633,0.00048412046938513714,96.824002631776864,48.4878517477796,10.489698567094829,1.0620287740983707
DP 103,45,35,45,22.5,3,90,3,100,150,0.0014742551138624549,15.140660285949707,0.00095690089316728211,191.37998848522219,95.844099232357365,27.174555368143068,0.8271728856217736
DP 104,45,35,45,22.5,3,100,3,100,150,0.0016478769248351455,10.423083305358887,0.0010432595736347139,208.65171428127422,104.48207425586395,27.293283240946728,0.80263420160396892
DP 105,50,32.5,50,25,3,100,3,100,150,0.0014993387740105391,9.3250646591186523,0.00093650289151507116,187.30045709645918,93.745976064729518,24.418306280458886,0.87824527097768357
DP 106,45,35,45,22.5,3,95,3,100,150,0.0015624520601704717,12.553152084350586,0.00099992932518944144,199.98574589210952,100.13073675038918,27.062865347432528,0.81139790843211623
DP 107,50,37.5,50,25,3,95,3,100,150,0.0015158391324803233,11.267831802368164,0.00090002713841386139,180.005303275119,90.113608354988543,24.234482846351629,0.887982554365883
DP 108,40,37.5,40,20,3,110,3,100,150,0.002005663700401783,7.864342689514161,0.0012641471306172509,252.82920333833238,126.57376272184848,32.172115933098112,0.72051844385974961
DP 109,45,35,45,22.5,3,110,3,100,150,0.0018170549301430583,6.9471917152404785,0.0011299420536185305,225.98820217291262,113.13485438463618,28.420170389509629,0.79531656956377839
DP 110,50,32.5,50,25,3,110,3,100,150,0.0016560166841372848,6.2149572372436523,0.0010169738525291905,203.39423447911491,101.79917971591472,25.4254602455019,0.87011469526780993
DP 111,40,37.5,40,20,3,108,3,100,150,0.00197244668379426,8.586674690246582,0.0012458595059191186,249.17171105241,124.72686116944581,31.856899706850598,0.72118938668678234
DP 112,40,37.5,40,20,3,105,3,100,150,0.0019163810648024082,9.7226991653442383,0.0012177375028841197,243.54660403754954,121.89888085182318,31.435997433957183,0.72270039025684452
DP 113,40,37.5,40,20,3,105,3,100,145,0.0019125906983390448,8.3955802917480469,0.0012184262547331552,243.68505261263576,121.98468330065073,31.014278736734003,0.71935915432897757
DP 114,40,37.5,40,20,3,95,3,100,145,0.0017269086092710495,12.46783447265625,0.0011239301141661902,224.78589792148148,112.54956365418106,29.854808957140165,0.72820355059180952
DP 115,40,37.5,40,20,3,90,3,100,145,0.0016316706314682961,15.011924743652344,0.0010766579653136432,215.33145182639296,107.80779365370478,29.680940013313236,0.73860140892063064
DP 116,50,32.5,50,25,3,105,3,100,145,0.0015828239265829325,6.6356730461120605,0.0009775064536370337,195.50072185904844,97.82883331212156,24.513450882886442,0.86866545210908674
DP 117,40,37.5,40,20,3,100,3,100,145,0.001819929457269609,10.306021690368652,0.0011712851992342621,234.25612950465751,117.24733436905305,30.325382847223427,0.72242309769314428
DP 118,50,32.5,50,25,3,90,3,100,145,0.0013405719073489308,11.866062164306641,0.00085721303670046234,171.44248976720939,85.818755746268735,23.460818435548784,0.89271772309959285
DP 119,45,35,45,22.5,3,90,3,100,145,0.0014758679317310452,13.259984970092773,0.00095681170932948589,191.36221219408793,95.789699204832516,26.216684906640687,0.81565956601011169
DP 120,45,35,45,22.5,3,100,3,100,145,0.00164735596626997,9.1039590835571289,0.0010439876932650805,208.797399074958,104.52825653845093,26.787650287485025,0.797459162772904
DP 121,50,32.5,50,25,3,100,3,100,145,0.0014995973324403167,8.1457023620605469,0.00093766571080777794,187.53241331833814,93.925650612189386,23.968271541602903,0.87249522785266664
DP 122,45,35,45,22.5,3,95,3,100,145,0.0015623051440343261,11.013157844543457,0.0010005826479755342,200.11638473526747,100.18653153935446,26.370786417854056,0.80396208209187481
DP 123,50,37.5,50,25,3,95,3,100,145,0.0015159419272094965,9.8880176544189453,0.00090024893870577216,180.0496823664343,90.130308474058239,23.612143034120315,0.87972052511752541
DP 124,40,37.5,40,20,3,110,3,100,145,0.0020041132811456919,6.6523857116699219,0.001265362006961368,253.0716482550886,126.65285110121962,31.867892005281714,0.71803313914166689
DP 125,45,35,45,22.5,3,110,3,100,145,0.001818099757656455,5.8771677017211914,0.00113149577130874,226.29901081749676,113.2780108513503,28.154876066639098,0.79252060177932615
DP 126,50,32.5,50,25,3,110,3,100,145,0.0016572568565607071,5.2582855224609375,0.0010185472929151729,203.70888390125219,101.94933670887623,25.190025046459656,0.86700806441698675
DP 127,40,37.5,40,20,3,108,3,100,145,0.0019737365655601025,7.3334541320800781,0.0012469066277844831,249.38039080528583,124.81643018600509,31.509692005009374,0.7183971169616129
DP 128,40,37.5,40,20,3,105,3,100,145,0.0019125906983390448,8.3955802917480469,0.0012184262547331552,243.68505261263576,121.98468330065073,31.014278736734003,0.71935915432897757
DP 129,40,37.5,40,20,3,105,3,100,155,0.0019162936368957162,11.126012802124023,0.0012171818719555934,243.43623566896963,121.82877919494511,31.946255227059766,0.726570071985191
DP 130,40,37.5,40,20,3,95,3,100,155,0.0017266188515350223,16.156682968139648,0.0011236216329659026,224.72417345887484,112.48226736401644,31.60159691964088,0.74280892191137438
DP 131,40,37.5,40,20,3,90,3,100,155,0.0016318137058988214,19.60603141784668,0.0010768072388600558,215.3606658766065,107.8365538525298,32.120671309342441,0.76193199758731678
DP 132,50,32.5,50,25,3,105,3,100,155,0.0015832819044589996,8.7905521392822266,0.00097592796373646706,195.18490355027853,97.728494719728715,25.241571194564518,0.87767909908894814
DP 133,40,37.5,40,20,3,100,3,100,155,0.0018199452897533774,13.417052268981934,0.001170469409165283,234.09372323339872,117.17546115846247,31.595384187356988,0.73242837582296261
DP 134,50,32.5,50,25,3,90,3,100,155,0.0013410951942205429,15.491840362548828,0.00085739329369971529,171.47804370160259,85.857818233296044,25.380718477779112,0.921881054286897
DP 135,45,35,45,22.5,3,90,3,100,155,0.0014741652412340045,17.314096450805664,0.00095692369359312579,191.38405006575792,95.823296014926427,28.365581393018658,0.8419065259371078
DP 136,45,35,45,22.5,3,100,3,100,155,0.0016468401299789548,11.849720001220703,0.0010428287787362933,208.5656086527419,104.43691932170773,27.904331299756077,0.80871510062568341
DP 137,50,32.5,50,25,3,100,3,100,155,0.0014996412210166454,10.600823402404785,0.0009360797606253376,187.21583951993995,93.759390544171254,24.964080515090942,0.88500182542840578
DP 138,45,35,45,22.5,3,95,3,100,155,0.0015624696388840675,14.26903247833252,0.0009998013653482,199.96014961414784,100.08891132684506,27.909208950270234,0.82039312478908433
DP 139,50,37.5,50,25,3,95,3,100,155,0.0015159742906689644,12.805352210998535,0.00089984141717044019,179.96817427096244,90.082602810327344,24.995055559004026,0.89797723919238071
DP 140,40,37.5,40,20,3,110,3,100,155,0.0020048629958182573,9.12356948852539,0.0012639114477982123,252.78212364240733,126.50661885477429,32.547110302127649,0.723383362191625
DP 141,45,35,45,22.5,3,110,3,100,155,0.0018178083701059222,8.05864143371582,0.0011293169615479808,225.86324620053713,113.03841600097522,28.749683140438357,0.79853960266549706
DP 142,50,32.5,50,25,3,110,3,100,155,0.0016568927094340324,7.2085866928100586,0.0010160503055279453,203.20993662396407,101.69984485134383,25.71817401499122,0.8736958431393721
DP 143,40,37.5,40,20,3,108,3,100,155,0.0019733675289899111,9.89712905883789,0.0012451868193844955,249.0371960698493,124.67851914550567,32.281642770732994,0.72441091171135752
DP 144,40,37.5,40,20,3,105,3,100,155,0.0019162936368957162,11.126012802124023,0.0012171818719555934,243.43623566896963,121.82877919494511,31.946255227059766,0.726570071985191
DP 145,40,37.5,40,20,6,105,6,100,150,0.00086384202586486936,1.2900596857070923,0.00029250276566017419,58.5005354721824,29.627621135208653,4.1097014235494553,1.203836623098181
DP 146,40,37.5,40,20,6,95,6,100,150,0.00080292898928746581,1.8737980127334595,0.00027105477784061804,54.210886037705606,27.527712622384296,4.014877978177589,1.2285551901382716
DP 147,40,37.5,40,20,6,90,6,100,150,0.000772499421145767,2.2561523914337158,0.00026024651500241208,52.049288753864069,26.519169734083114,4.0366418682037661,1.256916947715256
DP 148,50,32.5,50,25,6,105,6,100,150,0.00072461494710296392,1.0245044231414795,0.00024036507238633931,48.073001398490781,24.21851822982071,3.264634655990343,1.4427424654431726
